,weight
major_iTech,0.001942080735749434
major_accounting,0.002501341549328069
q3_weird,0.0030847405728184714
q8_blondes,0.004398193568839506
q8_brunettes,0.004491379958305274
q10_no,0.006742417234357716
q3_duh,0.008940198169892909
home_campus_Statesboro,0.009279591385595953
major_engineering,0.011207866520629797
q9_yes,0.012018321865235252
home_campus_Armstrong,0.013653885790127948
major_compScience,0.014712113604573848
q10_yes,0.01610605527204901
q9_no,0.020413956641914015
major_biology,0.020449229898027433
major_art,0.027729960428862586
age,0.03124903422949589
q5,0.041153034901797864
q4,0.05312028778616481
q7,0.060165621742708494
q6,0.09710831913222577
longitude,0.26224995905617454
latitude,0.2772824099551253
